job_title,paylab_category,min_salary_lkr,avg_salary_lkr,max_salary_lkr,description,source
Estate Agent,Construction Real Estate,48227,100066,151906,"Arranging for the purchase, sale and rental of real estate. Searching for properties matching the requirements of the client. Publication of advertisements in the media.",paylab.com
Web Designer,Information Technology,54912,100058,145205,"Communicating with clients concerning the appearance of their future websites, putting the emphasis on the understanding of the requirements and expectations of clients. Designing the basic structure of the website layout. Creating graphic concepts of websites and their implementation using programming languages.",paylab.com
PR Manager,Marketing Advertising PR,46192,99159,152127,"Responsibility for the internal and external communications of the company, maintaining good relations with media representatives and general public. Drawing up and implementing the communication strategy of the company. Preparing promotional articles, press releases, speeches and official responses to the questions posed by media representatives.",paylab.com
Maintenance Engineer,Mechanical Engineering,55604,98965,142327,"Providing preventive and operational maintenance of machinery and equipment. Managing, coordinating, motivating and evaluating subordinate employees. Developing and updating maintenance plans.",paylab.com
Service Engineer,Information Technology,51964,98584,145205,"Mounting, dismantling and powering up production machinery and equipment. Providing the repairs and maintenance of the production machinery and equipment. Providing employee trainings on the use of production machinery and equipment.",paylab.com
Construction Manager,Construction Real Estate,46436,98584,150733,Coordinating and organising the staff according to the site manager’s instructions. Monitoring the construction processes and procedures while maintaining safety and health at work. Supervising the performance of construction works in accordance with the work schedule.,paylab.com
Technical Writer,Information Technology,54175,98584,142994,"Drafting and creating technical documentation (manuals, user flysheets, on line/offline helpers, texts of user interface etc.). Watching changes of a product and subsequently incorporating them into the technical documentation. Assessing a text from the point of view of its comprehensibility, conciseness, correctness of grammar and style, homogeneity of used terminology etc.",paylab.com
Process Engineer,Electrical Power Engineering,50769,98262,145756,Responsibility for the implementation of new products in the company. Completing detailed production documentation and working procedures. Updating production documentation and working procedures in case of a change in the production process.,paylab.com
Head Nurse,Medicine Social Care,45671,98022,150374,Participating in planning the staffing budget and recruitment Ensure that nursing care meets regulatory standards Review and approve nursing policies and procedures,paylab.com
Structural Engineer,Construction Real Estate,46664,97982,149300,"Identifying locations in buildings to which the load is imposed. Designing building structures with an emphasis placed on their safety, economy as well as the requirements from investor, architect and public bodies. Completing static and dynamic calculations.",paylab.com
Compensation & Benefit Specialist,Human Resources,55168,97944,140720,Participating in the setting of reward strategies within the company. Planning of personal costs. Watching withdrawals from the funds earmarked for the remuneration of employees.,paylab.com
Design Technician,Mechanical Engineering,56936,97660,138384,"Elaborating technical documentation for the components, machines, automatic equipment, tools and systems with the help of specialized software. Consulting the completed technical documentation with clients. Cooperating with mechanical engineers, constructors and other members of the projection team.",paylab.com
Marketing Analyst,Marketing Advertising PR,49347,97611,145875,"Collecting opinions, attitudes and preferences of consumers using targeted questionnaires, telephone surveys, etc. Processing acquired data and its interpretation in the form of written analyses. Proposing recommendations regarding products and/or services, their distribution and prices.",paylab.com
Security Service Manager,Management,38163,97545,156928,"Managing, coordinating, motivating and evaluating the security service personnel. Planning of weekly shifts. Training new employees.",paylab.com
Account Manager,Marketing Advertising PR,48591,97410,146229,Providing comprehensive care for the assigned group of clients. Presenting the advertising agency and services it offers. Attending personal meetings in order to identify clients’ individual wishes and requirements.,paylab.com
Geologist,Construction Real Estate,48669,97004,145339,geological research description of geological territories drawing up professional assessments,paylab.com
Operations Supervisor,Mechanical Engineering,50852,96994,143136,Overseeing daily operations and ensuring efficiency in production processes. Supervising and coordinating the activities of the operations team. Implementing and maintaining operational policies and procedures to enhance productivity.,paylab.com
Statistician,Economy Finance Accountancy,46568,96964,147361,Checking the accuracy and completeness of statistical data. Preparing documents for statistical surveys and analyses. Monitoring the development of statistical indicators and identifying the causes of deviations from the planned parameters.,paylab.com
Power Engineer,Electrical Power Engineering,52422,96678,140935,"Ensuring and coordinating specialised inspections, tests and repairs of power equipment. Drawing up production plans of energy consumption. Reviewing the rational use of energy in the company.",paylab.com
Maintenance Engineer,Electrical Power Engineering,43646,96607,149569,"Providing preventive and operational maintenance of machinery and equipment. Managing, coordinating, motivating and evaluating subordinate employees. Developing and updating maintenance plans.",paylab.com
Process Engineer,Mechanical Engineering,52848,96415,139982,Responsibility for the implementation of new products in the company. Completing detailed production documentation and working procedures. Updating production documentation and working procedures in case of a change in the production process.,paylab.com
Media Buyer,Marketing Advertising PR,47910,96373,144836,Purchasing advertising time and space in mass media. Finding out about the availability of communication channels (considering the budget). Negotiating the best terms of contract.,paylab.com
Car Fleet Manager,Management,40484,95920,151357,"Responsibility for the good standing of the traffic situation and the efficient use of motor vehicles. Planning, ensuring and performing the required service inspections of motor vehicles. Communicating with insurance companies, leasing companies and public bodies.",paylab.com
Real Estate Appraiser,Construction Real Estate,44839,95778,146717,Conducting property appraisals to determine market value. Preparing detailed appraisal reports and expert opinions on real estate properties. Analyzing market trends and price movements in the real estate sector.,paylab.com
Architect,Construction Real Estate,43792,95662,147533,"Preparing construction plans for public works, investment plans, architectural and urban studies, local plan surveys, and analyses. Developing architectural designs and documentation concerning the placement of constructions and their alternations, project documentation of constructions and their alternations, including their interior as well as exterior, reconstruction and modernisation of buildings and restoration of architectural monuments. Project management and coordination of subprojects developed by engineers, landscapers, and other specialists as well as professional author's supervision regarding the construction work in accordance with the approved project documentation and construction supervision.",paylab.com
Education Specialist,Human Resources,49984,95183,140383,Responsibility for the drawing up a plan of training activities. Determining the training needs and communication with senior staff in developing a training plan. Preparing the group and individual training plans.,paylab.com
Design Technician,Electrical Power Engineering,49579,95037,140495,"Preparing project documentation of wiring. Documentation negotiation with the customer, professional bodies and organisations. Drafting of technical design of solutions, including the calculation of expected implementation costs.",paylab.com
Charge Nurse,Medicine Social Care,46175,94437,142700,Being responsible for the professional standard of health care provided in the hospital. Managing and supervising head nurses and managing health care staff in cooperation with department heads. Ensuring the filling of staff positions in the hospital in cooperation with department heads.,paylab.com
Recruiter,Human Resources,46151,94424,142697,"Conducting telephone interviews in order to identify and eliminate unsuitable job seekers for the position. Inviting suitable job seekers to interviews. Conducting job interviews with the job seekers, in turn inquiring about previous experience, expected salary, etc.",paylab.com
Priest,Medicine Social Care,55752,93941,132131,"Providing spiritual guidance and support to individuals and families within the community. Leading religious services, including worship, sacraments, and ceremonies. Offering counseling and emotional support to congregants during times of crisis and personal challenges.",paylab.com
IT/Technical Support Specialist,Information Technology,51964,93793,135623,Providing telephone and e-mail support for end users to a limited extent. Asking questions in order to determine the nature and seriousness of the problem. Identifying the cause of the problem and proposing possible solutions.,paylab.com
Event Manager,Management,51425,92658,133892,"Responsibility for designing, planning, organising and conducting social gatherings and events. Communicating with clients regarding the nature and the main idea of organised events. Designing and presenting ideas and themes to clients.",paylab.com
Scaffolder,Construction Real Estate,42703,92579,142455,"Putting up scaffoldings while considering the load-carrying capacity of the bed. Putting up scaffoldings along the frontage of the buildings. Putting up protective railings, protective nets, ladders, floors and blocks that prevent objects from falling down from the scaffolding.",paylab.com
Cost Accountant,Economy Finance Accountancy,34883,92162,149441,Estimating costs of projects and/or products. Providing support to senior management in deciding on future investments. Collecting data and analysing factors affecting the final price.,paylab.com
ICT-specialist,Information Technology,52333,92135,131937,"Providing technical support and troubleshooting for hardware and software issues. Implementing and maintaining IT infrastructure including networks, servers, and cloud services. Assisting in the development and deployment of new IT solutions and systems.",paylab.com
Junior Project Manager,Management,41760,91999,142239,"Managing financially less demanding small-scale projects. Assigning work and coordinating individual project team members. Checking compliance with the set budget, deadlines, and quality of the works.",paylab.com
Senior Accountant,Economy Finance Accountancy,42331,91928,141525,"Self-reliant simple and/or double-entry accounting for one or more companies. Performing more complex accounting operations requiring minimum guidance and control by the chief accountant. Auditing financial statements, ledgers, and accounts.",paylab.com
Call Center Supervisor,Customer Support,43599,91612,139625,Overseeing daily operations of the call center to ensure efficiency and effectiveness in service delivery. Supervising and training call center agents to enhance their performance and customer service skills. Monitoring call metrics and performance indicators to identify areas for improvement.,paylab.com
HR Consultant,Human Resources,50382,91344,132306,Advertising job vacancies. Selecting profiles of candidates from internal database and external sources. Organising and independently conducting selection interviews with candidates.,paylab.com
CRM specialist,Marketing Advertising PR,57629,91081,124534,"supporting business processes, including sales, marketing and services retaining communication with the client in the database creating and distributing target groups into distribution channels",paylab.com
Advertising Manager,Journalism Printing Arts Media,53065,90933,128801,Responsibility for the sale of advertising space within the company. Taking care of existing clients and maintaining good relations with them. Searching for new business opportunities.,paylab.com
Design Engineer,Electrical Power Engineering,49809,90905,132002,"Designing and modifying 3D models of machinery, equipment and components using specialised projection software. Completing drawings in paper and digital form as well as construction documentation. Consulting with engineers in research and development, along with a head designer and production technologist.",paylab.com
Research Physician,Medicine Social Care,51475,90608,129742,"Performs screening assessments including physical examinations, medical history review; reviews results of diagnostic studies; evaluates subjects with regard to suitability for protocols Counsels subjects with regard to abnormal and/or exclusionary diagnostic results, as necessary Accurately completes source documents and data input",paylab.com
Reporting Specialist,Economy Finance Accountancy,44052,90408,136764,Structuring and segmentation of reporting into a comprehensive reporting system Implementation and compliance with company/group reporting standards and policies Design of regular reports for managed areas at the request of line managers and other users,paylab.com
Car salesman,Commerce,46283,90378,134474,"Engaging with customers to understand their automotive needs and preferences. Demonstrating vehicle features and benefits to potential buyers. Providing information on financing options, warranties, and after-sales services.",paylab.com
Deputy Headmaster,Education Science Research,64940,90118,115297,Deputising for the headmaster in his/her absence. Ensuring educational and organisational tasks on the authority of the headmaster. Managing and fulfilling the economic tasks at school.,paylab.com
"Lecturer, trainer",Human Resources,48349,90042,131736,Preparing the content of courses and trainings. Providing the instructional materials and teaching aids. Lecturing on the subject matter and the subsequent application of theoretical knowledge into practice.,paylab.com
Senior Graphic Designer,Journalism Printing Arts Media,51307,89955,128603,Self-reliant production of a wide range of creative graphic concepts without detailed assignments from clients. Incorporating clients’ comments into graphic designs. Transferring drawings from paper to electronic form using a scanner.,paylab.com
University Teacher,Education Science Research,65245,89789,114334,Leading professional lectures and practical exercises. Recording attendance records into personal notes. Testing student knowledge in the form of verbal answers and written tests including assessment using grades.,paylab.com
Data communication technician,Information Technology,51596,89371,127146,"Installing, configuring, and maintaining data communication systems and equipment. Monitoring network performance and troubleshooting issues to ensure optimal operation. Collaborating with IT teams to design and implement network architecture and solutions.",paylab.com
Returns Department Manager,Management,34635,89364,144093,Managing and controlling employees at the complaints department. Handling difficult customer complaints to their general satisfaction. Preparation of documents for a possible attempt at conciliation and litigation with customers or suppliers.,paylab.com
Junior Statistician,Economy Finance Accountancy,43092,89304,135516,Sorting and evaluating data. Processing partial analyses. Entering data into the computer system.,paylab.com
Technologist,Electrical Power Engineering,45493,89297,133101,"Introducing new products into production. Analysing technological product manufacturability. Defining production and work practices, training production operators.",paylab.com
Technical Support Specialist,Customer Support,46068,89187,132306,"Providing users with technical support in the area of hardware and/or software. Identifying and solving problems. Keeping necessary records, recording information on incidents and their solutions.",paylab.com
Internal Communication Specialist,Marketing Advertising PR,45264,88928,132592,"Writing and editing a wide range of corporate articles, documents, speeches, newsletters etc. Participating in the development and implementation of an internal communication strategy. Providing advice on the adoption and use of internal communication culture.",paylab.com
Bookmaker,Commerce,43228,88706,134185,"Creating, announcing and suspending betting opportunities. Editing the announced rates when necessary.",paylab.com
Account Manager,Commerce,41484,88463,135442,Responsibility for the sale and presentation of products or services of the company. Market research and monitoring of competitive activities. Reaching out to potential clients with business offers and creating new business contacts.,paylab.com
"Research Worker, Scientific Worker",Education Science Research,51758,87110,122463,"Performing of research and exploration activities, Preparing samples and their analysis using a wide range of laboratory equipment and methodologies. Recording of the findings and their interpretation in the form of conclusions.",paylab.com
Media Planner,Marketing Advertising PR,41689,86950,132212,"Identifying the target group of the advertising campaign. Analyzing communication channels, their focus on the target groups, frequency and cost. Choosing the best communication channel or their combination",paylab.com
CAD Specialist,Construction Real Estate,40811,86651,132492,"Preparing detailed drawings and plans using CAD software for construction and real estate projects. Collaborating with architects, engineers, and project managers to understand project requirements and specifications. Ensuring accuracy and compliance with industry standards and regulations in all CAD designs.",paylab.com
Marketing Specialist,Marketing Advertising PR,42455,86569,130684,"Designing, coordinating, implementing and evaluating marketing campaigns in cooperation with the supervisor. Selecting appropriate communication channels for each marketing activity. Market monitoring at local, regional, national and international level.",paylab.com
Medical Institution Manager,Medicine Social Care,48584,86130,123676,"Overseeing the daily operations of the medical institution to ensure efficient service delivery. Developing and implementing policies and procedures in alignment with healthcare regulations and standards. Managing budgets, financial resources, and funding allocations to optimize institutional performance.",paylab.com
Design Technician,Construction Real Estate,40380,85462,130545,"Design work for aboveground and underground transportation structures, utility networks, electrical installation, heating systems, gas installation, hygienic equipment, HVAC equipment, camera systems, fire protection systems, etc. Completing all levels of project documentation including all drawings and other attachments. Proposal of alternative solutions.",paylab.com
Welder,Construction Real Estate,42742,85238,127734,"Welding metals, plastics, and polymers pursuant to the technical documentation. Defining suitable methods for welding and work procedures. Using welding tools and instruments, responsibility for proper settings and use.",paylab.com
HR Generalist,Human Resources,55809,85184,114560,Providing advice to line managers and employees concerning the Labour Code and related legislation. Responsibility for the identification of the staffing need and recruitment of new employees. Managing the personnel administration.,paylab.com
Assistant Financial Controller,Economy Finance Accountancy,40087,85105,130124,"Assisting the Financial Controller in managing financial operations and reporting. Preparing and analyzing financial statements, budgets, and forecasts. Supporting the month-end and year-end closing processes.",paylab.com
Property Manager,Construction Real Estate,39703,84968,130233,Managing of residential and non-residential space from a technical aspect. Reviewing the technical condition of buildings and the surrounding area. Responsibility for a continuous supply of energy carriers.,paylab.com
E-Commerce Specialist,Commerce,39210,84856,130503,Monitoring and analysing the behaviour of visitors and customers of an online store. Collecting comments regarding changes in the functionality and user interface. Proposing changes to enhance the functionality and user interface to the superior.,paylab.com
Occupational health nurse,Medicine Social Care,45798,84680,123563,"Conducting health assessments and screenings for employees to monitor their overall health and well-being. Providing education and guidance on occupational health issues, including injury prevention and wellness programs. Collaborating with management to develop and implement health and safety policies and procedures.",paylab.com
Design Engineer,Mechanical Engineering,47490,84469,121448,"Designing new products and devices. Choosing materials for their production, often also defining the technology of their production. Completing construction documentation for the production - drawings, 3d data. Looking up suppliers of the parts that are to be purchased, dealing with sales representatives of the suppliers, defining parameters of the purchased semi-finished products or finished products. Often also negotiating the price.",paylab.com
PC Technician,Information Technology,50573,84215,117857,"Providing technical support and troubleshooting for PC hardware and software issues. Installing, configuring, and maintaining computer systems and peripherals. Assisting users with setup, installation, and usage of applications and operating systems.",paylab.com
Electrician (industrial),Electrical Power Engineering,41746,83823,125900,Designing and constructing electrical appliances and equipment. Dismantling appliances and equipment for the purpose of repair. Testing electrical installations using measuring and diagnostic devices.,paylab.com
Sales Representative,Commerce,39613,83510,127408,Looking for potential clients within an assigned region. Presenting and promoting goods or services. Monitoring the stock levels of goods at different locations and accepting orders.,paylab.com
Design Engineer,Construction Real Estate,41177,83487,125798,"Creating 3D models of machines, devices and equipment using specialized design software. Elaboration of drawing documentation. Communication with the production department, suppliers, etc.",paylab.com
Fitter/Assembler,Construction Real Estate,37773,83369,128965,"Dismantling original window and door panels, sills, garage doors, shading systems, plaster boards, formwork, etc. Mounting and securing window and door panels, sills, garage doors, shading systems, plaster boards, formwork, etc. Providing repairs, warranties, and after-sales service.",paylab.com
Economist,Economy Finance Accountancy,41404,83356,125308,Responsibility for the processing and managing the accounting agenda of the company. Checking customer payment of claims and liabilities of the company. Cash management in domestic and/or foreign currency.,paylab.com
Crane Operator,Construction Real Estate,37794,83255,128717,"Operating and monitoring mobile and tower cranes. Lifting, lowering and moving heavy and oversized material with a crane arm. Keeping records of the crane operation.",paylab.com
Building Technician,Construction Real Estate,38950,83250,127551,"Coordinating and managing activities concerning repairs and maintenance of objects and devices Securing data to develop budgets and calculation Communication with customers, dealing with complaints and technical problems",paylab.com
Buying Agent,Commerce,41163,82854,124545,"Responsibility for selecting, the composition, and the final price of ordered goods and services. Monitoring the market, current trends, and competitors' activities. Searching and contacting new suppliers, obtaining preliminary information on the quality, price, and possible delivered quantities.",paylab.com
Medical Advisor,Medicine Social Care,42895,82497,122100,Provide expert medical advice and support to healthcare professionals and stakeholders. Collaborate with cross-functional teams to develop and implement medical strategies and programs. Conduct thorough reviews of clinical data and literature to inform decision-making and strategy.,paylab.com
Inspection Technician,Electrical Power Engineering,43141,82398,121656,Performing technical inspections and tests of the electrical equipment according to the Labour Inspection certificate. Completing written reports on executed inspections. Instructing employees - persons in accordance with the Section 20.,paylab.com
Designer,Arts Culture,50859,82369,113879,"Capturing ideas on paper in the form of simple sketches. Designing 2D and 3D models of products using specialised CAD software. Communicating with clients, superiors and technologists.",paylab.com
Clinical Psychologist,Medicine Social Care,43802,82266,120731,"Conducting individual interviews and group therapy sessions. Conducting specialist psychological examinations. Diagnosing the causes of the problem, proposing an appropriate treatment.",paylab.com
Telecommunication network installer,Electrical Power Engineering,38752,82228,125704,"Installing, maintaining, and repairing telecommunication networks, including fiber optic and copper cabling systems. Conducting site surveys to determine installation requirements and ensure compliance with specifications. Collaborating with engineers and project managers to develop installation plans and timelines.",paylab.com
Financial administration assistant,Economy Finance Accountancy,55255,82221,109188,"Assisting in the preparation and maintenance of financial records and reports. Processing invoices, receipts, and payments in a timely manner. Supporting the budgeting and forecasting processes by providing accurate data and analysis.",paylab.com
Sales Officer,Commerce,30269,82194,134119,Communication with the company's suppliers and customers in mother and foreign languages. Completion of price offers based on customer requirements. Administration of created and cancelled orders.,paylab.com
Web Designer,Marketing Advertising PR,44804,81791,118778,Designing and creating visually appealing and user-friendly websites. Collaborating with clients and team members to understand project requirements and objectives. Developing website layouts and user interfaces using standard HTML/CSS practices.,paylab.com
Claims Specialist,Economy Finance Accountancy,40645,81608,122572,"Managing and processing the outstanding claims agenda. Monitoring the payment of overdue receivables. Contacting debtors by telephone, recovering due amounts.",paylab.com
SEO analyst,Marketing Advertising PR,49588,81397,113207,Execute search keyword discovery and expansion. Perform SEO page audits. Perform external back link analysis and provide recommendations.,paylab.com
Chief Accountant Deputy,Economy Finance Accountancy,41430,81393,121356,"Assisting the Chief Accountant in overseeing the daily operations of the accounting department. Preparing and reviewing financial statements, ensuring accuracy and compliance with regulations. Managing accounts payable and receivable, including processing invoices and payments.",paylab.com
Producer,Journalism Printing Arts Media,49052,81392,113733,"Overseeing the production process of various media projects, including film, television, and digital content. Hiring directors, lead actors, and key technical staff to ensure high-quality production. Facilitating communication between artistic personnel, focusing on working conditions and compensation negotiations.",paylab.com
Sales Consultant,Commerce,33076,81114,129153,"Answering customers' questions about products, prices, availability, product and service uses. Analyzing market conditions in order to determine optimum service to clients. Reading corporate reports and calculating ratios to determine the best prospects for profit.",paylab.com
Production Planner,Mechanical Engineering,47017,80790,114564,"Develop and maintain production schedules to ensure timely delivery of products. Collaborate with various departments, including procurement, manufacturing, and logistics, to align production plans with company goals. Analyze production data to identify trends, forecast demand, and optimize resource allocation.",paylab.com
HR Coordinator,Human Resources,42853,80676,118500,"managing the assigned project, selecting employees taking care of, coordinating and being responsible for the assigned employees communication with the representatives of the employer",paylab.com
Digital marketing specialist,Marketing Advertising PR,39929,80594,121259,"Design digital media campaigns aligned with business goals Coordinate the creation of digital content (e.g. website, blogs, press releases and podcasts) Manage end-to-end digital projects",paylab.com
Production Supervisor,Management,30958,80560,130162,"Management and organisation of the production process within the assigned shift. Responsibility for the assignment of tasks, achievement of daily production target and improvement of the quality and quantity of products. Leadership, motivation and evaluation of the performance of subordinate staff.",paylab.com
Service Technician,Electrical Power Engineering,44089,80547,117006,Taking care of the guarantee and after-guarantee service for the delivered goods. Assembling and installing products for the customers. Finding out about the causes of failure and defect on the products.,paylab.com
Roofer,Construction Real Estate,36381,80497,124614,"Calculating, plotting and fabricating sheet metal products. Cutting the sheet metal plates into the required dimensions. Laying a soft and hard roof covering.",paylab.com
Junior Sales Representative,Commerce,39508,80441,121375,"Responsibility for the presentation and sale of a selected range of products and services, or for the sales within the entrusted region. Identifying potential customers on the basis of specified criteria. Maintaining good relations with new and existing customers.",paylab.com
Radiographer,Medicine Social Care,43706,80192,116678,"Performing diagnostic imaging examinations using X-ray equipment to assist in the diagnosis and treatment of patients. Collaborating with physicians and healthcare professionals to determine appropriate imaging techniques and protocols. Preparing patients for radiographic procedures by explaining the process, addressing concerns, and ensuring comfort.",paylab.com
Retail Store Manager,Commerce,36854,79789,122724,Ensuring the smooth operation of a point of sale/shop. Responsibility for sales results and for meeting defined financial plans. Ordering goods and services depending on the balance of stocks and other circumstances.,paylab.com
Technologist,Mechanical Engineering,43801,79357,114914,Inventing new and improving existing technological processes. Supervising the observance of formulations and technological processes. Management of the pre-production process to eliminate any possible shortcomings.,paylab.com
Interior Designer,Construction Real Estate,33487,79312,125137,"Performing project activities, drafting project documentation for interiors and for housing reconstruction. Graphic processing of proposed solutions for interiors, including the drafting of specifications and technical documentation. Providing architectural guidance to investors and property owners.",paylab.com
Ambulance Paramedic,Medicine Social Care,43920,79249,114579,"Assisting in reducing the health consequences in emergency conditions, contingencies, and rescue operations. Communicating with the emergency service despatched. Monitoring patient’s vital signs.",paylab.com
"Machine Operator, Machinist",Mechanical Engineering,53931,79247,104563,Operating construction machines and mechanisms. Performing construction work according to master builder’s instructions. Checking the technical condition of entrusted construction machines and mechanisms.,paylab.com
Refrigeration Mechanic,Construction Real Estate,36296,79126,121956,"Performing the calculations that are necessary for designing simpler refrigeration and air conditioning equipment. Mounting, dismantling, and completing refrigeration and air conditioning equipment. Detecting defects and determining the procedures that are necessary for their removal.",paylab.com
Career advisor,Human Resources,42516,79005,115494,"Providing guidance and support to individuals in their career development and job search processes. Conducting one-on-one career counseling sessions to assess clients' skills, interests, and goals. Assisting clients in creating effective resumes and cover letters tailored to specific job opportunities.",paylab.com
Land Surveyor/Geodesist,Construction Real Estate,36838,78794,120751,Developing the plat maps. Staking the land. Planimetric and altimetric measurements.,paylab.com
Quantity Surveyor,Construction Real Estate,28285,78699,129114,Management of construction preparation Checking the project documentation Processing of price offers and of public tenders,paylab.com
Technician,Mechanical Engineering,43156,78674,114193,"Making machines, machinery and appliances operational in engineering production. Analysing faults in order to identify the reasons why they originated. Performing repairs of machines, machinery and appliances by replacing faulty components with new ones, or by modifying software.",paylab.com
Assistant to a Tax Advisor,Economy Finance Accountancy,52851,78665,104480,Performing economic activities under the guidance of a certified tax consultant. Preparing tax opinions in the Slovak and/or a foreign language. Calculating the income tax of natural and legal persons.,paylab.com
Publishing House Director,Journalism Printing Arts Media,45671,78604,111538,"Lead and oversee the strategic direction and operations of the publishing house to ensure alignment with company goals and objectives. Develop and implement innovative publishing strategies to enhance market presence and increase readership. Manage and cultivate relationships with authors, editors, graphic designers, and other key stakeholders to ensure high-quality content production.",paylab.com
Store Department Manager,Commerce,35085,78575,122066,Organising work activities and assigning tasks within the entrusted shop department. Leading and motivating a team of employees. Securing the timely and proper unloading and pricing of goods.,paylab.com
Camera Operator,Journalism Printing Arts Media,44438,78554,112670,"Using a camera to shoot movies, serials, documentaries, videos, commercials, etc. Choosing the appropriate type of film, lenses and filters depending on the desired objective. Communicating with the director, lighting engineers and other crew members.",paylab.com
Lighting Technician,Arts Culture,46293,78449,110605,"Mounting, powering up and positioning the lighting equipment before shooting film, theatrical performance, television broadcasting, concerts etc. Floodlighting the scene as directed by the main lighting technician and director. Operating the lighting fixtures (focusing, dimming, lighting effects etc.).",paylab.com
Doctor apprentice,Medicine Social Care,43312,78445,113578,Assisting experienced doctors in diagnosing and treating patients under supervision. Participating in patient consultations and examinations to gain practical experience. Conducting medical research and literature reviews to support clinical decision-making.,paylab.com
3D printer operator,Journalism Printing Arts Media,47033,78325,109617,Operating and maintaining 3D printers to produce high-quality printed materials. Setting up and calibrating 3D printers according to project specifications. Monitoring the printing process to ensure accuracy and quality control.,paylab.com
Bricklayer,Construction Real Estate,34064,78142,122220,"Reading technical and project documentation. Preparing mortar, cement, skim coats, and plasters. Cutting bricks to the required shapes and sizes.",paylab.com
Geotechnical investigator,Construction Real Estate,37593,77983,118373,"Conducting geotechnical investigations to assess soil and rock properties for construction projects. Performing field measurements and tests to gather data on soil conditions, including sampling and laboratory analysis. Preparing detailed reports on geotechnical findings and recommendations for construction practices.",paylab.com
Editor,Journalism Printing Arts Media,40293,77712,115131,"Performing journalist activities for mass media editors. Collecting, sorting, and verifying the information. Processing interesting topics for readers, viewers, and listeners.",paylab.com
Webmaster,Information Technology,49501,77642,105783,Responsibility for managing websites in terms of the technical point of view as well as content. Maintaining and updating website content. Repairing errors.,paylab.com
Metalworker,Mechanical Engineering,51941,77570,103199,"Fabricating and assembling metal structures and components according to specifications and engineering drawings. Operating various metalworking machines, including lathes, milling machines, and welding equipment. Performing quality control checks to ensure that finished products meet industry standards and customer requirements.",paylab.com
PPC specialist,Marketing Advertising PR,47542,77209,106877,"Designing, optimizing and auditing PPC campaigns Working with the Google AdWords, AdWords Editor and Sklik PPC systems Evaluating visit rates of websites",paylab.com
Electronics Electrician,Electrical Power Engineering,50888,77144,103400,Diagnosing faults in electronic devices using conventional measuring instruments. Drawing up measurement protocols. Reading and drawing electronic diagrams.,paylab.com
Bidding engineer,Construction Real Estate,35988,77045,118102,"Preparing and submitting competitive bids for construction projects. Analyzing project requirements and specifications to determine bid scope. Collaborating with project managers, engineers, and other stakeholders to gather necessary information.",paylab.com
Service Technician,Information Technology,45934,77020,108106,"Repairing PCs, laptops, mainframes, servers and peripherals. Determining causes of problems and their immediate removal. Installing new or replacing outdated and dysfunctional motherboards, processors, graphic adapters, memory modules, hard drives, optical drives, sound and network cards and other computer components.",paylab.com
Veterinarian,Medicine Social Care,40394,76745,113096,"Examining the health of animals, determining diagnoses. Examining and removing tissues and biological materials. Prescribing and administering drugs to animals.",paylab.com
CNC Machine Setter,Mechanical Engineering,42818,76679,110541,Reading technical drawings. Installing components and tools. Ensuring the transfer of the program into the CNC machine.,paylab.com
Invoicing and payment specialist,Economy Finance Accountancy,34908,76663,118418,Performing invoicing for the client’s customers within a specified time period. Defining requirements for clients. Responsibility for the automatic and manual billing and solving all related problems.,paylab.com
Construction Plant Operator,Construction Real Estate,34643,76656,118670,"Operating various construction machines, such as excavators, loaders, rollers, or bulldozers. The task is to accurately and safely operate these machines during various construction works, such as digging foundations, demolishing buildings, or leveling terrain. Regularly checking the condition of machines and performing their basic maintenance. Ensuring that machines are in good technical condition and ready for use, which helps prevent breakdowns and unnecessary downtime on the construction site. Strictly adhering to all safety measures when working with construction machines. This includes the proper use of protective equipment and respecting safety rules on the construction site.",paylab.com
Managing Editor,Journalism Printing Arts Media,44321,76493,108666,Responsibility for the content of the entrusted periodical. Coordinating the activities of editors in the publishing house. Editing articles.,paylab.com
CNC Programmer,Mechanical Engineering,42089,76236,110383,Reading technical drawings. Calculating the coordinates of the tool. Writing the program using G and M codes.,paylab.com
Repairer,Electrical Power Engineering,50065,75881,101697,Conducting repairs and maintenance on electrical systems and equipment. Diagnosing electrical faults and implementing effective solutions. Performing routine inspections and testing of electrical systems to ensure safety and compliance.,paylab.com
Painter,Construction Real Estate,34524,75615,116707,"Applying primer to the wall surface before painting. Removing old paint from the walls with a scraper, spatula and/or wire brush. Mixing colours with pigment to achieve the desired colour shade.",paylab.com
University Teaching assistant,Education Science Research,54006,75606,97207,Leading professional lectures and practical exercises. Recording attendance records into personal notes. Testing student knowledge in the form of verbal answers and written tests including assessment using grades.,paylab.com
Dental Hygienist,Medicine Social Care,45200,75586,105972,"Conducting periodic examinations of patients. Instructing patients on proper cleaning of teeth, interdental spaces and oral caries. Removing tartar and pigment coating.",paylab.com
Smith,Mechanical Engineering,49089,75342,101595,"Fabricating artistic, craft and commercial products of daily needs made of iron, steel, copper and other metals. Heating the steel and iron in a blacksmith’s furnace to the desired temperature. Forming iron and steel with hand tools and machinery.",paylab.com
Model,Arts Culture,37259,75329,113399,"Posing in front of the lenses of photographers, following their instructions. Viewing of clothes, products etc. Performing in TV adverts.",paylab.com
